중요도	분류	중분류	소분류	내용 (체크리스트)	테스트 환경	수행 결과	이미지	개발 체크	비고(기타)
3	세션	VideoControlsDemo	컨트롤 데모	음소거/카메라/화면공유 버튼; 기본 단축키; 툴팁					
5	레벨테스트	LevelTestIntro	인트로	소개 표시; 시작 버튼으로 다음 이동					
5	레벨테스트	LevelTestStart	시작	시작 후 장치 체크 진입; 진행 상태 표시					
5	레벨테스트	ConnectionCheck	연결 점검	마이크 인식; 테스트 녹음 재생; 실패 시 재시도					
4	레벨테스트	LevelTestCheck	체크 요약	장치 체크 요약; 다음 단계 이동					
5	레벨테스트	AudioQuestion	질문/녹음	질문 오디오 재생; 녹음 시작/중지; 재녹음 횟수 제한					
4	레벨테스트	LevelTestRecording	녹음 진행	카운트다운; 진행 바; 제출 버튼 활성 조건					
4	레벨테스트	LevelTestResult	결과	점수/레벨 표시; 다음 추천/공유 CTA					
3	레벨테스트	LevelTestComplete	완료	완료 메시지; 프로필 반영 여부; 홈/추천 이동					
4	온보딩-정보	ObInfoRouter	라우팅	단계 라우팅; 진행률 유지					
4	온보딩-정보	ObInfo1	기본 정보	입력 저장; 필수값 검증; 다음/이전 이동					
4	온보딩-정보	ObInfo2	프로필 이미지	업로드/미리보기; 저장					
4	온보딩-정보	ObInfo3	선호/옵션	선호 선택 저장; 최대 선택 제한					
4	온보딩-정보	ObInfo4	요약 확인	요약 확인; 수정 진입; 완료 이동					
3	온보딩-정보	ObInfoComplete	완료	완료 안내; 메인 이동					
4	온보딩-의지	ObIntRouter	라우팅	단계 라우팅; 진행률 유지					
4	온보딩-의지	ObInt1	목표 설정	목표/빈도 선택 저장; 기본값 제공					
3	온보딩-의지	ObInt2	알림 동의	허용/거부 저장; 안내					
3	온보딩-의지	ObInt3	시간대 설정	로컬 타임존 제안; 변경 저장					
3	온보딩-의지	ObInt4	최종 확인	최종 확인 후 완료					
3	온보딩-의지	ObIntComplete	완료	완료 안내; 메인 이동					
4	온보딩-언어	ObLangRouter	라우팅	단계 라우팅; 상태 유지					
4	온보딩-언어	ObLang1	언어 선택	모국어/목표 언어 선택 저장; 중복 방지					
3	온보딩-언어	ObLang2	레벨 선택	레벨 선택 저장					
3	온보딩-언어	ObLang3	관심사 태그	태그 선택 저장; 최대 개수 제한					
3	온보딩-언어	ObLangComplete	완료	완료 안내; 다음 플로우 이동					
4	온보딩-파트너	ObPartnerRouter	라우팅	단계 라우팅; 상태 유지					
4	온보딩-파트너	ObPartner1	조건 선택	파트너 조건 선택 저장; 필수 검증					
3	온보딩-파트너	ObPartner2	가이드 확인	가이드 체크 저장					
3	온보딩-파트너	ObPartnerComplete	완료	완료 안내; 다음 플로우 이동					
4	온보딩-스케줄	ObSchaduleRouter	라우팅	단계 라우팅; 상태 유지					
4	온보딩-스케줄	ObSchadule1	가용 시간	시간 블록 선택/저장; 중복 선택 경고					
3	온보딩-스케줄	ObSchadule2	충돌 검증	충돌 결과 표시; 수정/다음 이동					
3	온보딩-스케줄	ObSchadule3	타임존 반영	타임존 반영 확인; 요약 갱신					
3	온보딩-스케줄	ObSchadule4	최종 확인	최종 확인 및 완료; 스케줄 생성					
3	온보딩-스케줄	ObSchaduleComplete	완료	완료 안내; 메인/추천 이동					
